"","Pyruvate7a","Pyruvate7b","Pyruvate5a","Pyruvate5b","logFC","logCPM","PValue","FDR_pyr7_vs_pyr5"
"MT0232",21.7080921309521,9.65729270647641,30.2167730942326,32.9588819705925,0.981245673225389,5.46265932281705,0.507884605650557,1
"MT0233",32.5621381964281,9.65729270647641,10.0722576980775,21.972587980395,-0.349684743010516,5.28275117208596,1,1
"MT0234",0,19.3145854129528,10.0722576980775,0,-0.812165927485237,4.83012105969376,1,1
"MT0235",86.8323685238083,86.9156343582877,90.6503192826977,76.9040579313826,-0.0465791347350645,6.73010246031613,1,1
"MT0236",97.6864145892843,86.9156343582877,40.2890307923101,76.9040579313826,-0.658500004551107,6.58421321546238,0.265185733971568,1
"MT0237",184.518783113093,241.43231766191,191.372896263473,186.766997833358,-0.179860629877168,7.79599396528534,0.666600624673965,1
"MT0238",10.854046065476,38.6291708259056,0,32.9588819705925,-0.630359957177382,5.37253438805764,0.760272524469193,1
"MT0239",32.5621381964281,9.65729270647641,50.3612884903876,43.94517596079,1.16043325592092,5.76822008686487,0.266960782454951,1
"MT0240",10.854046065476,28.9718781194292,50.3612884903876,43.94517596079,1.16045791670989,5.76485620349475,0.266960782454951,1
"MT0241",65.1242763928562,115.887512477717,130.939350075008,120.849233892173,0.450284737700543,7.01455187665194,0.447542922381261,1
"MT0242",43.4161842619041,86.9156343582877,30.2167730942326,43.94517596079,-0.830795611835556,6.17699183898974,0.263351942289618,1
"MT0244",75.9783224583322,77.2583416518113,20.144515396155,21.972587980395,-1.80460083031008,6.12611236939666,0.0192514547297026,0.381484262531587
"MT0245",32.5621381964281,115.887512477717,60.4335461884651,65.9177639411851,-0.266901270065537,6.49643174008789,0.859800402331217,1
