"","Glycerol7a","Glycerol7b","Pyruvate5a","Pyruvate5b","logFC","logCPM","PValue","FDR_gly7_vs_pyr5"
"MT0172",0,9.33012169083165,10.3498579095738,43.1987422927215,2.13124105866057,5.17782635938803,0.233106880234607,0.937144677480333
"MT0173",110.213064712225,111.96146028998,51.7492895478692,129.596226878164,-0.301949473357265,6.92410410465131,0.644274380690371,1
"MT0175",540.044017089903,466.506084541583,186.297442372329,194.394340317247,-1.3904502474363,8.52373963784964,1.99220914449325e-06,0.000207531272594926
"MT0176",628.214468859684,681.098883430711,258.746447739346,215.993711463607,-1.45977666606174,8.87146656939668,1.85283862037576e-08,3.37772480494501e-06
"MT0177",231.447435895673,186.602433816633,82.7988632765908,118.796541304984,-1.03666721310184,7.45593359497425,0.019099193830439,0.347514203839491
"MT0178",352.681807079121,429.185597778256,238.046731920199,237.593082609968,-0.723367588518169,8.39330304075185,0.0155613627110913,0.302000282152385
"MT0179",121.234371183448,186.602433816633,113.848437005312,172.794969170886,-0.128782155280306,7.40867736316754,0.903309555550417,1
"MT0180",462.894871791346,466.506084541583,310.495737287215,226.793397036788,-0.783960926617784,8.60064615170173,0.00477201256189841,0.137158554500702
"MT0181",551.065323561126,457.175962850751,155.247868643608,172.794969170886,-1.60539851292602,8.4726884732456,1.68135701545363e-07,2.45209107133757e-05
"MT0182",462.894871791346,475.836206232414,175.947584462755,172.794969170886,-1.42295755841996,8.42525613004118,1.94053953733743e-06,0.000207531272594926
"MT0183",705.363614158241,774.400100339027,424.344174292528,377.988995061313,-0.883648474422057,9.21061821753414,0.000104842544698177,0.00735107534556835
"MT0184",451.873565320123,438.515719469088,186.297442372329,313.190881622231,-0.835727910702401,8.52549068785674,0.00555781808162953,0.154685532256651
"MT0185",99.1917582410027,102.631338599148,62.0991474574431,75.5977990122626,-0.548094566844207,6.72475597603171,0.296513484039967,0.981035463876382
"MT0186",22.042612942445,37.3204867633266,41.3994316382954,53.9984278659018,0.628282163278723,5.89236857002216,0.607344244109518,1
"MT0187",286.553968251786,242.583163961623,196.647300281903,194.394340317247,-0.425041465916179,7.96932672477341,0.230929593518763,0.937144677480333
"MT0188",99.1917582410027,130.621703671643,165.597726553182,107.996855731804,0.239897473401653,7.19906522995747,0.677330904725126,1
"MT0189",88.1704517697802,83.9710952174849,72.4490053670169,75.5977990122626,-0.211835301541255,6.65426692031722,0.720261127873766,1
"MT0190",11.0213064712225,27.990365072495,0,21.5993711463607,-0.858188617163623,5.17418522263393,0.687535974303402,1
"MT0191",55.1065323561126,102.631338599148,103.498579095738,75.5977990122626,0.150879373328608,6.72179026362459,0.862053886365175,1
"MT0192",66.1278388273351,121.291581980811,72.4490053670169,64.7981134390822,-0.473510857505575,6.68377760551432,0.4818684385149,1
"MT0193",33.0639194136676,65.3108518358216,41.3994316382954,53.9984278659018,-0.0848926993833162,6.12049845667704,0.999999999999996,1
"MT0194",44.0852258848901,46.6506084541583,10.3498579095738,43.1987422927215,-0.754705784794659,5.82780669550233,0.424076774517526,1
"MT0195",132.25567765467,186.602433816633,196.647300281903,129.596226878164,0.0208724828258277,7.51335666067561,1,1
"MT0196",330.639194136676,149.281947053306,300.145879377642,334.790252768591,0.429444361764087,8.21636127864023,0.297682233974175,0.981035463876382
"MT0197",11.0213064712225,27.990365072495,31.0495737287215,53.9984278659018,1.01890435426595,5.69116085007318,0.387806597326044,1
"MT0198",55.1065323561126,223.92292057996,93.1487211861646,118.796541304984,-0.432594978289046,7.18587201545359,0.506406946065873,1
